loss,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.7043,3.6451612903225805e-05,13.55,6300,,,,,,,,,,,,,,
1.6955,3.6236559139784945e-05,13.76,6400,,,,,,,,,,,,,,
1.7174,3.602150537634409e-05,13.98,6500,,,,,,,,,,,,,,
,,14.0,6510,1.6770459413528442,14.4114,1.352,12.8283,12.8505,19.0,45.6462,22.214,1.402,,,,,
1.6995,3.580645161290323e-05,14.19,6600,,,,,,,,,,,,,,
1.6819,3.5591397849462364e-05,14.41,6700,,,,,,,,,,,,,,
1.7036,3.5376344086021504e-05,14.62,6800,,,,,,,,,,,,,,
1.6901,3.516129032258065e-05,14.84,6900,,,,,,,,,,,,,,
,,15.0,6975,1.668662428855896,14.8201,1.554,13.3888,13.4322,19.0,44.7197,22.675,1.431,,,,,
1.6797,3.494623655913979e-05,15.05,7000,,,,,,,,,,,,,,
1.6815,3.473118279569892e-05,15.27,7100,,,,,,,,,,,,,,
1.6956,3.451612903225806e-05,15.48,7200,,,,,,,,,,,,,,
1.6808,3.430107526881721e-05,15.7,7300,,,,,,,,,,,,,,
1.6669,3.408602150537635e-05,15.91,7400,,,,,,,,,,,,,,
,,16.0,7440,1.6661337614059448,14.716,1.5155,13.2173,13.2301,19.0,44.5754,22.748,1.436,,,,,
1.6636,3.387096774193548e-05,16.13,7500,,,,,,,,,,,,,,
1.672,3.365591397849462e-05,16.34,7600,,,,,,,,,,,,,,
1.678,3.344086021505377e-05,16.56,7700,,,,,,,,,,,,,,
1.6762,3.322580645161291e-05,16.77,7800,,,,,,,,,,,,,,
1.6678,3.301075268817204e-05,16.99,7900,,,,,,,,,,,,,,
,,17.0,7905,1.6548632383346558,14.9386,1.5191,13.4629,13.4898,19.0,45.856,22.113,1.396,,,,,
1.6444,3.279569892473118e-05,17.2,8000,,,,,,,,,,,,,,
1.6725,3.258064516129033e-05,17.42,8100,,,,,,,,,,,,,,
1.6504,3.236559139784947e-05,17.63,8200,,,,,,,,,,,,,,
1.6574,3.215053763440861e-05,17.85,8300,,,,,,,,,,,,,,
,,18.0,8370,1.649837613105774,14.9598,1.4165,13.2192,13.2149,19.0,45.6875,22.194,1.401,,,,,
1.6522,3.193548387096774e-05,18.06,8400,,,,,,,,,,,,,,
1.6496,3.172043010752688e-05,18.28,8500,,,,,,,,,,,,,,
1.6489,3.1505376344086026e-05,18.49,8600,,,,,,,,,,,,,,
1.6468,3.1290322580645166e-05,18.71,8700,,,,,,,,,,,,,,
1.6548,3.10752688172043e-05,18.92,8800,,,,,,,,,,,,,,
,,19.0,8835,1.644577980041504,15.3125,1.5021,13.6827,13.6866,19.0,46.0352,22.027,1.39,,,,,
1.617,3.086021505376344e-05,19.14,8900,,,,,,,,,,,,,,
1.6551,3.0645161290322585e-05,19.35,9000,,,,,,,,,,,,,,
1.6363,3.0430107526881725e-05,19.57,9100,,,,,,,,,,,,,,
1.6438,3.0215053763440858e-05,19.78,9200,,,,,,,,,,,,,,
